base,target,last,volume,converted_last,converted_volume,timestamp,last_traded_at,last_fetch_at
DOGE,BTC,2.0921e-06,46505960.0,"{'btc': 1.0, 'eth': 25.113185, 'usd': 66887}","{'btc': 97.295, 'eth': 2443, 'usd': 6507792}",2024-10-21 15:45:37+00:00,2024-10-21 15:45:37+00:00,2024-10-21 15:45:37+00:00
BTC,USDT,66891.9,610.13301055,"{'btc': 0.9995649, 'eth': 25.122632, 'usd': 66863, 'usd_v2': 66858}","{'btc': 609.868, 'eth': 15328, 'usd': 40795378, 'usd_v2': 40792550}",2024-10-21 15:41:08+00:00,2024-10-21 15:41:08+00:00,2024-10-21 15:41:08+00:00
BTC,USDT,66932.73,101.7692268,"{'btc': 1.000133, 'eth': 25.118168, 'usd': 66880, 'usd_v2': 66830}","{'btc': 101.783, 'eth': 2556, 'usd': 6806305, 'usd_v2': 6801196}",2024-10-21 15:45:16+00:00,2024-10-21 15:45:16+00:00,2024-10-21 15:45:16+00:00
ETH,BTC,0.03976,3506.5324546840016,"{'btc': 1.0, 'eth': 25.112158, 'usd': 66896}","{'btc': 139.42, 'eth': 3501, 'usd': 9326677}",2024-10-21 15:46:06+00:00,2024-10-21 15:46:06+00:00,2024-10-21 15:46:06+00:00
BTC,USDC,66993.76,41.143,"{'btc': 0.99982676, 'eth': 25.138458, 'usd': 66965, 'usd_v2': 66980}","{'btc': 41.135872, 'eth': 1034, 'usd': 2755150, 'usd_v2': 2755773}",2024-10-21 15:29:56+00:00,2024-10-21 15:29:56+00:00,2024-10-21 15:29:56+00:00
BTC,USDC,66893.42,60.89794,"{'btc': 0.99994724, 'eth': 25.11186, 'usd': 66884, 'usd_v2': 66880}","{'btc': 62.209, 'eth': 1562, 'usd': 4160968, 'usd_v2': 4160746}",2024-10-21 15:46:00+00:00,2024-10-21 15:46:00+00:00,2024-10-21 15:46:00+00:00
BTC,USDC,66887.92,32.50898,"{'btc': 1.00055, 'eth': 25.131522, 'usd': 66905, 'usd_v2': 66875}","{'btc': 33.229202, 'eth': 834.641, 'usd': 2221982, 'usd_v2': 2220965}",2024-10-21 15:44:15+00:00,2024-10-21 15:44:15+00:00,2024-10-21 15:44:15+00:00
BTC,JPY,10073189.0,116.71810331813887,"{'btc': 1.001614, 'eth': 25.155371, 'usd': 66979}","{'btc': 119.216, 'eth': 2994, 'usd': 7972077}",2024-10-21 15:45:10+00:00,2024-10-21 15:45:10+00:00,2024-10-21 15:45:10+00:00
BTC,USDC,66846.0,157.3308,"{'btc': 0.99850626, 'eth': 25.094943, 'usd': 66772, 'usd_v2': 66833}","{'btc': 160.483, 'eth': 4033, 'usd': 10731895, 'usd_v2': 10741576}",2024-10-21 15:42:26+00:00,2024-10-21 15:42:26+00:00,2024-10-21 15:42:26+00:00
BTC,USDT,66930.01,31.89069,"{'btc': 1.000092, 'eth': 25.115498, 'usd': 66893, 'usd_v2': 66878}","{'btc': 32.648724, 'eth': 819.913, 'usd': 2183780, 'usd_v2': 2183280}",2024-10-21 15:45:59+00:00,2024-10-21 15:45:59+00:00,2024-10-21 15:45:59+00:00
BTC,USDT,66895.0,28.80005715,"{'btc': 1.0, 'eth': 25.108565, 'usd': 66936, 'usd_v2': 66863}","{'btc': 28.800057, 'eth': 723.128, 'usd': 1927771, 'usd_v2': 1925661}",2024-10-21 15:46:03+00:00,2024-10-21 15:46:03+00:00,2024-10-21 15:47:01+00:00
BTC,USDT,66876.368757,26.5088706,"{'btc': 0.99862769, 'eth': 25.097013, 'usd': 66772, 'usd_v2': 66843}","{'btc': 27.051895, 'eth': 679.855, 'usd': 1808795, 'usd_v2': 1810713}",2024-10-21 15:42:42+00:00,2024-10-21 15:42:42+00:00,2024-10-21 15:42:42+00:00
BTC,GBP,51574.5,79.8738489,"{'btc': 1.000747, 'eth': 25.127972, 'usd': 66964}","{'btc': 79.934, 'eth': 2007, 'usd': 5348648}",2024-10-21 15:46:55+00:00,2024-10-21 15:46:55+00:00,2024-10-21 15:46:55+00:00
BTC,USDC,66861.54,112.41493,"{'btc': 0.99925932, 'eth': 25.112887, 'usd': 66814, 'usd_v2': 66848}","{'btc': 112.332, 'eth': 2823, 'usd': 7510932, 'usd_v2': 7514732}",2024-10-21 15:43:01+00:00,2024-10-21 15:43:01+00:00,2024-10-21 15:43:01+00:00
ETH,BTC,0.039865,27365.60022,"{'btc': 1.0, 'eth': 25.120817, 'usd': 66858}","{'btc': 1091, 'eth': 27405, 'usd': 72937710}",2024-10-21 15:43:54+00:00,2024-10-21 15:43:54+00:00,2024-10-21 15:43:54+00:00
BTC,USDC,66879.19,80.17259669102955,"{'btc': 1.00042, 'eth': 25.127185, 'usd': 66897, 'usd_v2': 66866}","{'btc': 82.156, 'eth': 2063, 'usd': 5493649, 'usd_v2': 5491129}",2024-10-21 15:44:54+00:00,2024-10-21 15:44:54+00:00,2024-10-21 15:44:54+00:00
BTC,GBP,51539.0,30.15225511,"{'btc': 1.000058, 'eth': 25.110676, 'usd': 66918}","{'btc': 30.154012, 'eth': 757.143, 'usd': 2017717}",2024-10-21 15:46:53+00:00,2024-10-21 15:46:53+00:00,2024-10-21 15:46:53+00:00
BTC,USDT,66954.0,94.66,"{'btc': 1.0, 'eth': 25.132484, 'usd': 66872, 'usd_v2': 66921}","{'btc': 96.716, 'eth': 2431, 'usd': 6467604, 'usd_v2': 6472270}",2024-10-21 15:36:25+00:00,2024-10-21 15:36:25+00:00,2024-10-21 15:42:26+00:00
